Entry,crop,Name,weight
1,oat,IL15-2064,300
2,oat,IL17-1704,300
3,oat,IL17-3125,300
4,oat,IL19-511,300
5,oat,IL19-1222,300
6,oat,IL19-2033,300
7,oat,IL19-2673,300
8,oat,IL19-3618,300
9,oat,IL19-3661,300
10,oat,IL19-4556,300
11,oat,IL19-4877,300
12,oat,IL19-5332,300
13,oat,IL19-5336,300
14,oat,IL19-5467,300
15,oat,IL19-6345,300
16,oat,IL19-6406,300
17,oat,IL19-6432,300
18,oat,IL19-6920,300
19,oat,IL19-7048,300
20,oat,IL19-7058,300
21,oat,IL19-7063,300
22,oat,IL20-615,300
23,oat,IL20-618,300
24,oat,IL20-677,300
25,oat,IL20-746,300
26,oat,IL20-1037,300
27,oat,IL20-5913,300
28,oat,IL20-6928,300
29,oat,IL20-7727,300
30,oat,IL20-7841,300
31,oat,IL20-8320,300
32,oat,IL20-8446,300
33,oat,IL20-8456,300
34,oat,IL21-753,300
35,oat,IL21-3542,300
36,oat,IL21-4011,300
37,oat,IL21-4020,300
38,oat,IL21-4039,300
39,oat,IL21-4043,300
40,oat,IL21-4178,300
41,oat,IL21-4364,300
42,oat,IL21-5917,300
43,oat,IL21-5955,300
44,oat,IL21-5956,300
45,oat,IL21-6116,300
46,oat,IL21-6257,300
47,oat,IL21-7653,300
48,oat,IL21-7822,300
49,oat,IL21-8143,300
50,oat,IL22-251,300
51,oat,IL22-948,300
52,oat,IL22-1019,300
53,oat,IL22-1256,300
54,oat,IL22-1423,300
55,oat,IL22-1939,300
56,oat,IL22-2231,300
57,oat,IL22-2250,300
58,oat,IL22-2362,300
59,oat,IL22-2364,300
60,oat,IL22-2662,300
61,oat,IL22-2850,300
62,oat,IL22-2961,300
63,oat,IL22-3146,300
64,oat,IL22-3262,300
65,oat,IL22-3365,300
66,oat,IL22-3958,300
67,oat,IL22-4050,300
68,oat,IL22-4169,300
69,oat,IL22-4235,300
70,oat,IL22-4325,300
71,oat,IL22-4432,300
72,oat,IL22-4459,300
73,oat,IL22-4548,300
74,oat,IL22-4714,300
75,oat,IL22-5070,300
76,oat,IL22-5335,300
77,oat,IL22-5365,300
78,oat,IL22-5830,300
79,oat,IL22-6261,300
80,oat,IL22-6264,300
81,oat,IL23-236,300
82,oat,IL23-247,300
83,oat,IL23-250,300
84,oat,IL23-251,300
85,oat,IL23-259,300
86,oat,IL23-260,300
87,oat,IL23-267,300
88,oat,IL23-268,300
89,oat,IL23-271,300
90,oat,IL23-360,300
91,oat,IL23-376,300
92,oat,IL23-377,300
93,oat,IL23-415,300
94,oat,IL23-418,300
95,oat,IL23-422,300
96,oat,IL23-423,300
97,oat,IL23-445,300
98,oat,IL23-453,300
99,oat,IL23-475,300
100,oat,IL23-509,300
101,oat,IL23-512,300
102,oat,IL23-524,300
103,oat,IL23-543,300
104,oat,IL23-551,300
105,oat,IL23-558,300
106,oat,IL23-612,300
107,oat,IL23-621,300
108,oat,IL23-652,300
109,oat,IL23-660,300
110,oat,IL23-661,300
111,oat,IL23-669,300
112,oat,IL23-723,300
113,oat,IL23-739,300
114,oat,IL23-763,300
115,oat,IL23-771,300
116,oat,IL23-810,300
117,oat,IL23-875,300
118,oat,IL23-906,300
119,oat,IL23-907,300
120,oat,IL23-911,300
121,oat,IL23-913,300
122,oat,IL23-923,300
123,oat,IL23-939,300
124,oat,IL23-943,300
125,oat,IL23-951,300
126,oat,IL23-957,300
127,oat,IL23-959,300
128,oat,IL23-963,300
129,oat,IL23-965,300
130,oat,IL23-971,300
131,oat,IL23-1037,300
132,oat,IL23-1115,300
133,oat,IL23-1129,300
134,oat,IL23-1163,300
135,oat,IL23-1165,300
136,oat,IL23-1206,300
137,oat,IL23-1209,300
138,oat,IL23-1225,300
139,oat,IL23-1228,300
140,oat,IL23-1236,300
141,oat,IL23-1259,300
142,oat,IL23-1348,300
143,oat,IL23-1358,300
144,oat,IL23-1364,300
145,oat,IL23-1409,300
146,oat,IL23-1410,300
147,oat,IL23-1413,300
148,oat,IL23-1414,300
149,oat,IL23-1421,300
150,oat,IL23-1422,300
151,oat,IL23-1423,300
152,oat,IL23-1424,300
153,oat,IL23-1431,300
154,oat,IL23-1432,300
155,oat,IL23-1450,300
156,oat,IL23-1459,300
157,oat,IL23-1462,300
158,oat,IL23-1531,300
159,oat,IL23-1547,300
160,oat,IL23-1556,300
161,oat,IL23-1608,300
162,oat,IL23-1610,300
163,oat,IL23-1613,300
164,oat,IL23-1614,300
165,oat,IL23-1617,300
166,oat,IL23-1619,300
167,oat,IL23-1621,300
168,oat,IL23-1623,300
169,oat,IL23-1628,300
170,oat,IL23-1631,300
171,oat,IL23-1632,300
172,oat,IL23-1638,300
173,oat,IL23-1644,300
174,oat,IL23-1650,300
175,oat,IL23-1651,300
176,oat,IL23-1653,300
177,oat,IL23-1655,300
178,oat,IL23-1657,300
179,oat,IL23-1660,300
180,oat,IL23-1663,300
181,oat,IL23-1666,300
182,oat,IL23-1668,300
183,oat,IL23-1669,300
184,oat,IL23-1753,300
185,oat,IL23-1764,300
186,oat,IL23-1775,300
187,oat,IL23-1806,300
188,oat,IL23-1815,300
189,oat,IL23-1819,300
190,oat,IL23-1842,300
191,oat,IL23-1847,300
192,oat,IL23-1859,300
193,oat,IL23-1947,300
194,oat,IL23-1959,300
195,oat,IL23-2010,300
196,oat,IL23-2021,300
197,oat,IL23-2034,300
198,oat,IL23-2134,300
199,oat,IL23-2154,300
200,oat,IL23-2235,300
201,oat,IL23-2246,300
202,oat,IL23-2253,300
203,oat,IL23-2371,300
204,oat,IL23-2443,300
205,oat,IL23-2458,300
206,oat,IL23-2554,300
207,oat,IL23-2625,300
208,oat,IL23-2751,300
209,oat,IL23-2843,300
210,oat,IL23-2942,300
211,oat,IL23-2954,300
212,oat,IL23-2956,300
213,oat,IL23-2963,300
214,oat,IL23-3228,300
215,oat,IL23-3312,300
216,oat,IL23-3335,300
217,oat,IL23-3337,300
218,oat,IL23-3434,300
219,oat,IL23-3443,300
220,oat,IL23-3468,300
221,oat,IL23-3517,300
222,oat,IL23-3545,300
223,oat,IL23-3549,300
224,oat,IL23-3565,300
225,oat,IL23-3572,300
226,oat,IL23-3576,300
227,oat,IL23-3621,300
228,oat,IL23-3627,300
229,oat,IL23-3635,300
230,oat,IL23-3645,300
231,oat,IL23-3655,300
232,oat,IL23-3661,300
233,oat,IL23-3669,300
234,oat,IL23-3673,300
235,oat,IL23-3675,300
236,oat,IL23-3710,300
237,oat,IL23-3730,300
238,oat,IL23-3731,300
239,oat,IL23-3738,300
240,oat,IL23-3751,300
241,oat,IL23-3754,300
242,oat,IL23-3759,300
243,oat,IL23-3823,300
