Pea,Oat,combo,category,Replication_withinloc,Location,PlotNumber,Row,Column
NDP140510Y,IL23-911,NDP140510Y+IL23-911,unique_combos,Rep 0,1,1,1,1
NDP170253Y,IL23-1631,NDP170253Y+IL23-1631,unique_combos,Rep 0,2,1,1,1
NDP250138G,IL21-3542,NDP250138G+IL21-3542,across_loc,Rep 0,3,1,1,1
NDP170328G,IL23-3710,NDP170328G+IL23-3710,unique_combos,Rep 0,4,1,1,1
NDP250046Y,IL23-1859,NDP250046Y+IL23-1859,unique_combos,Rep 0,5,1,1,1
NDP250139G,IL23-3673,NDP250139G+IL23-3673,unique_combos,Rep 0,1,2,1,2
NDP150476G,IL22-1019,NDP150476G+IL22-1019,unique_combos,Rep 0,2,2,1,2
NDP250111G,IL23-1129,NDP250111G+IL23-1129,unique_combos,Rep 0,3,2,1,2
NDP250044Y,IL23-3621,NDP250044Y+IL23-3621,unique_combos,Rep 0,4,2,1,2
NDP170054Y,IL23-3710,NDP170054Y+IL23-3710,unique_combos,Rep 0,5,2,1,2
NDP250101Y,IL23-963,NDP250101Y+IL23-963,unique_combos,Rep 0,1,3,1,3
NDP250107G,IL23-4542,NDP250107G+IL23-4542,unique_combos,Rep 0,2,3,1,3
NDP250170Y,IL23-3731,NDP250170Y+IL23-3731,unique_combos,Rep 0,3,3,1,3
NDP170245Y,IL23-3312,NDP170245Y+IL23-3312,within_loc,Rep 2,4,3,1,3
NDP170004G,IL23-1610,NDP170004G+IL23-1610,unique_combos,Rep 0,5,3,1,3
NDP250111G,IL23-2443,NDP250111G+IL23-2443,unique_combos,Rep 0,1,4,1,4
NDP250095Y,IL23-1556,NDP250095Y+IL23-1556,unique_combos,Rep 0,2,4,1,4
NDP250058G,IL23-2954,NDP250058G+IL23-2954,across_loc,Rep 0,3,4,1,4
NDP170200Y,IL23-1621,NDP170200Y+IL23-1621,unique_combos,Rep 0,4,4,1,4
NDP170004G,IL23-3874,NDP170004G+IL23-3874,unique_combos,Rep 0,5,4,1,4
NDP170006G,IL23-3576,NDP170006G+IL23-3576,unique_combos,Rep 0,1,5,1,5
NDP250075Y,IL23-4718,NDP250075Y+IL23-4718,unique_combos,Rep 0,2,5,1,5
NDP250170Y,IL23-1669,NDP250170Y+IL23-1669,unique_combos,Rep 0,3,5,1,5
NDP170185Y,IL23-2235,NDP170185Y+IL23-2235,unique_combos,Rep 0,4,5,1,5
NDP250096Y,IL23-3545,NDP250096Y+IL23-3545,unique_combos,Rep 0,5,5,1,5
NDP250114G,IL23-1531,NDP250114G+IL23-1531,within_loc,Rep 2,1,6,1,6
NDP250053G,IL23-2625,NDP250053G+IL23-2625,unique_combos,Rep 0,2,6,1,6
NDP250060Y,IL23-763,NDP250060Y+IL23-763,unique_combos,Rep 0,3,6,1,6
NDP250160Y,IL23-1815,NDP250160Y+IL23-1815,unique_combos,Rep 0,4,6,1,6
NDP250160Y,IL22-1423,NDP250160Y+IL22-1423,unique_combos,Rep 0,5,6,1,6
NDP250185G,IL19-5332,NDP250185G+IL19-5332,unique_combos,Rep 0,1,7,1,7
NDP250034Y,IL23-3545,NDP250034Y+IL23-3545,unique_combos,Rep 0,2,7,1,7
NDP250093Y,IL23-907,NDP250093Y+IL23-907,unique_combos,Rep 0,3,7,1,7
NDP250087Y,IL23-1459,NDP250087Y+IL23-1459,unique_combos,Rep 0,4,7,1,7
NDP250116G,IL19-6345,NDP250116G+IL19-6345,unique_combos,Rep 0,5,7,1,7
NDP250137G,IL23-1660,NDP250137G+IL23-1660,unique_combos,Rep 0,1,8,1,8
NDP250104G,IL23-1236,NDP250104G+IL23-1236,within_loc,Rep 1,2,8,1,8
NDP150231Y,IL23-3621,NDP150231Y+IL23-3621,unique_combos,Rep 0,3,8,1,8
NDP250042Y,IL23-4554,NDP250042Y+IL23-4554,unique_combos,Rep 0,4,8,1,8
NDP170156Y,IL23-1410,NDP170156Y+IL23-1410,unique_combos,Rep 0,5,8,1,8
NDP170028G,IL23-1819,NDP170028G+IL23-1819,unique_combos,Rep 0,1,9,1,9
NDP250065Y,IL22-5365,NDP250065Y+IL22-5365,unique_combos,Rep 0,2,9,1,9
NDP250040Y,IL21-3542,NDP250040Y+IL21-3542,within_loc,Rep 2,3,9,1,9
NDP250186G,IL23-271,NDP250186G+IL23-271,within_loc,Rep 2,4,9,1,9
NDP170056G,IL23-1228,NDP170056G+IL23-1228,unique_combos,Rep 0,5,9,1,9
NDP250027G,IL22-2961,NDP250027G+IL22-2961,unique_combos,Rep 0,1,10,1,10
NDP250111G,IL23-3669,NDP250111G+IL23-3669,unique_combos,Rep 0,2,10,1,10
NDP250162Y,IL20-7727,NDP250162Y+IL20-7727,unique_combos,Rep 0,3,10,1,10
NDP150119G,IL23-3661,NDP150119G+IL23-3661,unique_combos,Rep 0,4,10,1,10
NDP250159Y,IL23-1806,NDP250159Y+IL23-1806,unique_combos,Rep 0,5,10,1,10
NDP250098Y,IL23-4721,NDP250098Y+IL23-4721,unique_combos,Rep 0,1,11,1,11
NDP250074Y,IL23-1660,NDP250074Y+IL23-1660,unique_combos,Rep 0,2,11,1,11
NDP250152Y,IL21-5956,NDP250152Y+IL21-5956,across_loc,Rep 0,3,11,1,11
NDP120083Y,IL21-6116,NDP120083Y+IL21-6116,unique_combos,Rep 0,4,11,1,11
NDP170017G,IL23-660,NDP170017G+IL23-660,within_loc,Rep 1,5,11,1,11
NDP250119G,IL20-615,NDP250119G+IL20-615,unique_combos,Rep 0,1,12,1,12
NDP170249Y,IL23-4555,NDP170249Y+IL23-4555,unique_combos,Rep 0,2,12,1,12
NDP250153Y,IL23-4542,NDP250153Y+IL23-4542,unique_combos,Rep 0,3,12,1,12
NDP250057G,IL23-943,NDP250057G+IL23-943,unique_combos,Rep 0,4,12,1,12
NDP250104G,IL23-3621,NDP250104G+IL23-3621,unique_combos,Rep 0,5,12,1,12
NDP250055G,IL23-1037,NDP250055G+IL23-1037,unique_combos,Rep 0,1,13,1,13
NDP250064Y,IL23-3673,NDP250064Y+IL23-3673,unique_combos,Rep 0,2,13,1,13
NDP250093Y,IL23-1410,NDP250093Y+IL23-1410,unique_combos,Rep 0,3,13,1,13
NDP160129G,IL23-723,NDP160129G+IL23-723,unique_combos,Rep 0,4,13,1,13
NDP170017G,IL23-660,NDP170017G+IL23-660,within_loc,Rep 2,5,13,1,13
NDP250097Y,IL23-771,NDP250097Y+IL23-771,unique_combos,Rep 0,1,14,1,14
NDP250043Y,IL23-1753,NDP250043Y+IL23-1753,unique_combos,Rep 0,2,14,1,14
NDP170153Y,IL23-1668,NDP170153Y+IL23-1668,unique_combos,Rep 0,3,14,1,14
NDP170249Y,IL23-4555,NDP170249Y+IL23-4555,within_loc,Rep 2,4,14,1,14
NDP250091Y,IL21-4039,NDP250091Y+IL21-4039,across_loc,Rep 0,5,14,1,14
NDP250134G,IL23-3468,NDP250134G+IL23-3468,unique_combos,Rep 0,1,15,1,15
NDP170052G,IL23-512,NDP170052G+IL23-512,across_loc,Rep 0,2,15,1,15
NDP250083Y,IL23-911,NDP250083Y+IL23-911,unique_combos,Rep 0,3,15,1,15
NDP250080Y,IL19-1222,NDP250080Y+IL19-1222,unique_combos,Rep 0,4,15,1,15
NDP250067Y,IL22-6261,NDP250067Y+IL22-6261,across_loc,Rep 0,5,15,1,15
NDP250124Y,IL23-3621,NDP250124Y+IL23-3621,unique_combos,Rep 0,1,16,1,16
